Clube;Milhões de Euros (Transfermarkt)
Flamengo;214.30
Palmeiras;186.45
Botafogo;151.90
Corinthians;114.45
Internacional;110.40
Atlético-MG;100.10
Bahia;99.70
Grêmio;94.80
Cruzeiro;87.85
São Paulo;86.90
Vasco;86.70
Bragantino;82.20
Santos;79.05
Fluminense;72.65
Fortaleza;48.05
Sport;35.95
Vitória;32.55
Ceará;29.00
Juventude;21.25
Mirassol;19.03
