Clube;Milhões de Euros (Transfermarkt)
Flamengo;185.60
Corinthians;132.35
Grêmio;120.28
Atlético-MG;106.45
Palmeiras;93.25
São Paulo;71.90
Internacional;71.85
Santos;53.70
Fluminense;39.13
Bragantino;33.80
Athletico-PR;31.35
Fortaleza;31.20
Bahia;30.35
Sport;27.95
Juventude;26.83
Atlético-GO;24.70
Ceará;21.93
Cuiabá;21.00
América-MG;16.95
Chapecoense;13.75
